,Analysis,Training Size,[Train Data] - The least error ML model,[Train Data] - RMSE (mean of cv=10),[Train Data] - STD (mean of cv=10),[Train Data] - RMSE(%) (mean of cv=10),[Test Data] - The least error ML model,[Test Data] - RMSE (cv=1),[Test Data] - RMSE(%) (cv=1)
61,5,0.5,Linear Regressor,4.089185337950802,2.1453133242520313,5.111481672438503,Linear Regressor,11.785757045596267,14.732196306995332
62,5,0.55,Linear Regressor,3.79766644513833,1.934514883519361,4.7470830564229125,Linear Regressor,12.823544736653549,16.029430920816935
63,5,0.6,Linear Regressor,4.207437342227578,2.0687190717624064,5.259296677784473,Linear Regressor,12.724570886938935,15.905713608673668
64,5,0.65,Random Forest Regressor,3.7426700818907337,0.9078109154003454,4.678337602363417,Random Forest Regressor,3.235682749767483,4.044603437209354
65,5,0.7,Random Forest Regressor,3.7946067017705003,1.24930379767229,4.743258377213126,Random Forest Regressor,5.299660366476328,6.62457545809541
66,5,0.75,Multi-layer Regressor,4.121834303692342,2.37609151157138,5.152292879615428,Multi-layer Regressor,2.854796730138293,3.5684959126728657
67,5,0.8,Random Forest Regressor,3.863305140474625,0.7040982488000467,4.829131425593281,Random Forest Regressor,2.8133609793270398,3.5167012241588
68,5,0.85,Random Forest Regressor,3.262761564239903,0.967646296882886,4.0784519552998795,Random Forest Regressor,4.8036044159168,6.004505519895999
69,5,0.9,Multi-layer Regressor,3.4546081864709812,1.9399928388380296,4.3182602330887265,Multi-layer Regressor,2.6421019358713935,3.3026274198392422
70,6,0.25,Decision Tree Regressor,8.468500481113255,4.902869023045506,0.8418567740701942,Decision Tree Regressor,11.775542536074953,1.170611051443576
71,6,0.3,Random Forest Regressor,7.187948765247064,5.585099523006854,0.7145566529975855,Random Forest Regressor,12.007109862169264,1.1936312452264766
72,6,0.35,Decision Tree Regressor,6.91799618016258,2.239717487405215,0.6877205663801284,Decision Tree Regressor,13.165436843273968,1.3087809600793099
73,6,0.4,Random Forest Regressor,6.602291237357809,4.5047044772611535,0.6563362209106572,Random Forest Regressor,10.772861576628538,1.0709341653379731
74,6,0.45,Random Forest Regressor,5.834613297840736,3.0156606440338742,0.580021072186507,Random Forest Regressor,12.651448863289048,1.2576852243341219
75,6,0.5,Random Forest Regressor,6.392077525348337,4.147240007279329,0.6354387978246812,Random Forest Regressor,12.540868774261709,1.2466924166661566
76,6,0.55,Random Forest Regressor,6.498984413391712,2.6007689842958084,0.6460664512203209,Random Forest Regressor,12.442964317354058,1.2369596982890143
77,6,0.6,Random Forest Regressor,6.179772277342411,2.66031085933192,0.614333454369479,Random Forest Regressor,13.572727198488824,1.3492698453684808
78,6,0.65,Random Forest Regressor,8.068946955275349,6.022711608247938,0.8021370098592282,Random Forest Regressor,7.362556361779104,0.7319144589364817
79,6,0.7,Random Forest Regressor,7.941741993193526,5.674789711763037,0.7894915173942095,Random Forest Regressor,6.325318933254304,0.6288023014216767
80,6,0.75,Random Forest Regressor,8.251145225455222,6.014235878010555,0.8202494074810835,Random Forest Regressor,9.088463830170243,0.9034875605645535
81,6,0.8,Random Forest Regressor,8.158927033727352,6.183349333499028,0.8110819628346844,Random Forest Regressor,8.726017289078245,0.8674566154713678
82,6,0.85,Random Forest Regressor,6.959682450843554,4.036639106740074,0.6918646140113198,Random Forest Regressor,6.411627036972719,0.6373822220268118
83,6,0.9,Random Forest Regressor,7.549128812004815,4.27285456368035,0.7504616954192198,Random Forest Regressor,6.681616986957337,0.6642220231028512
84,7,0.25,Random Forest Regressor,9.362013555678566,4.61440160619888,11.702516944598207,Random Forest Regressor,8.616921337306808,10.77115167163351
